"sp","lat","lon"
"Thelypodium_integrifolium","37.431","-118.0999"
"Thelypodium_flexuosum","40.8933","-118.4805"
"Thelypodium_flexuosum","42.1403","-118.6169"
"Thelypodium_flexuosum","40.0828","-113.9572"
"Thelypodium_flexuosum","39.4494","-116.2758"
"Thelypodium_flexuosum","36.36","-113.369"
"Thelypodium_flexuosum","39.46","-116.72"
"Thelypodium_flexuosum","43.096","-118.907"
"Thelypodium_flexuosum","41.7481","-117.4442"
"Thelypodium_flexuosum","39.5578","-116.3606"
"Thelypodium_flexuosum","41.3192","-120.0388"
"Thelypodium_flexuosum","40.0192","-115.5711"
"Thelypodium_flexuosum","39.23","-117.56"
"Thelypodium_flexuosum","42.8063","-117.7352"
"Thelypodium_flexuosum","42.1454","-118.6019"
"Thelypodium_flexuosum","41.5394","-120.0908"
"Thelypodium_flexuosum","37.992","-113.444"
"Thelypodium_flexuosum","41.3192","-120.0385"
"Thelypodium_flexuosum","41.5217","-120.0022"
"Thelypodium_flexuosum","41.5505","-120.0603"
"Thelypodium_flexuosum","42.5473","-118.53"
"Thelypodium_flexuosum","43.2792","-118.9611"
"Thelypodium_flexuosum","43.5864","-119.0531"
"Thelypodium_flexuosum","44.8257","-117.4375"
"Thelypodium_flexuosum","43.863","-117.508"
"Thelypodium_flexuosum","43.2502","-119.8977"
"Thelypodium_flexuosum","41.9992","-117.7173"
"Thelypodium_flexuosum","43.0001","-119.9954"
"Thelypodium_flexuosum","42.3268","-118.3812"
"Thelypodium_flexuosum","42.647","-118.5963"
"Thelypodium_flexuosum","42.3825","-119.9028"
"Thelypodium_flexuosum","42.9731","-120.7764"
"Thelypodium_flexuosum","44.0111","-117.0842"
"Thelypodium_flexuosum","42.0036","-121.6361"
"Thelypodium_flexuosum","42.2211","-119.8975"
"Thelypodium_flexuosum","43.4804","-119.0367"
"Thelypodium_flexuosum","42.5299","-118.5378"
"Thelypodium_flexuosum","43.7739","-118.4603"
"Thelypodium_flexuosum","43.1851","-121.0662"
"Thelypodium_flexuosum","42.3375","-118.2386"
"Thelypodium_flexuosum","43.4553","-119.4278"
"Thelypodium_flexuosum","43.8945","-117.6044"
"Thelypodium_flexuosum","43.9822","-117.2372"
"Thelypodium_flexuosum","43.3567","-121.0528"
"Thelypodium_flexuosum","43.0184","-120.6895"
"Thelypodium_flexuosum","43.8633","-117.6089"
"Thelypodium_flexuosum","42.1241","-117.5981"
"Thelypodium_flexuosum","42.694","-120.7133"
"Thelypodium_flexuosum","43.2364","-120.436"
"Thelypodium_flexuosum","43.4746","-117.759"
"Thelypodium_flexuosum","40.2979","-120.1763"
"Thelypodium_flexuosum","39.2628","-117.684"
"Thelypodium_flexuosum","41.53","-120.09"
"Thelypodium_flexuosum","40.01","-115.57"
"Thelypodium_flexuosum","41.74","-117.44"
"Thelypodium_flexuosum","39.23","-117.55"
"Thelypodium_flexuosum","40.89","-118.48"
"Thelypodium_flexuosum","39.55","-116.36"
"Thelypodium_flexuosum","40.3683","-120.2518"
"Thelypodium_flexuosum","41.4577","-122.4599"
"Thelypodium_flexuosum","37.323","-118.2192"
"Thelypodium_flexuosum","40.4178","-120.4703"
"Thelypodium_flexuosum","40.4447","-120.2697"
"Thelypodium_flexuosum","40.2979","-120.1951"
"Thelypodium_flexuosum","41.9924","-123.5274"
"Streptanthella_longirostris","46.2397","-119.0994"
"Streptanthella_longirostris","34.696","-118.147"
"Streptanthella_longirostris","33.5717","-116.0772"
"Streptanthella_longirostris","41.3192","-120.0183"
"Streptanthella_longirostris","33.6878","-116.2934"
"Streptanthella_longirostris","33.8165","-116.3428"
"Streptanthella_longirostris","36.1976","-116.3726"
"Streptanthella_longirostris","35.0333","-115.6333"
"Streptanthella_longirostris","36.0169","-116.2772"
"Streptanthella_longirostris","34.2536","-114.1742"
"Streptanthella_longirostris","33.9253","-116.6415"
"Streptanthella_longirostris","41.5975","-120.0839"
"Streptanthella_longirostris","41.3139","-120.0347"
"Streptanthella_longirostris","34.8473","-114.6156"
"Streptanthella_longirostris","41.3192","-120.0385"
"Streptanthella_longirostris","33.8858","-116.5114"
"Streptanthella_longirostris","41.3153","-120.0322"
"Streptanthella_longirostris","31.641","-116.522"
"Streptanthella_longirostris","32.9973","-115.0312"
"Streptanthella_longirostris","34.4173","-117.006"
"Streptanthella_longirostris","32.7978","-114.6171"
"Streptanthella_longirostris","40.1008","-120.0675"
"Streptanthella_longirostris","37.6511","-118.5006"
"Streptanthella_longirostris","39.1438","-109.0411"
"Streptanthella_longirostris","40.971","-108.4484"
"Streptanthella_longirostris","39.114","-108.7102"
"Streptanthella_longirostris","37.2473","-109.036"
"Streptanthella_longirostris","39.1727","-108.3151"
"Streptanthella_longirostris","40.0885","-108.8022"
"Streptanthella_longirostris","40.7246","-108.8104"
"Streptanthella_longirostris","37.0326","-108.7004"
"Streptanthella_longirostris","40.6166","-108.427"
"Streptanthella_longirostris","39.1107","-108.3431"
"Streptanthella_longirostris","40.8405","-109.0008"
"Streptanthella_longirostris","36.7692","-108.1752"
"Streptanthella_longirostris","36.8106","-108.5077"
"Streptanthella_longirostris","36.758","-108.416"
"Streptanthella_longirostris","36.7965","-107.7139"
"Streptanthella_longirostris","36.679","-107.695"
"Streptanthella_longirostris","35.5288","-108.647"
"Streptanthella_longirostris","36.0725","-107.8019"
"Streptanthella_longirostris","43.0735","-116.5514"
"Streptanthella_longirostris","46.5399","-119.3897"
"Streptanthella_longirostris","46.6894","-119.4397"
"Streptanthella_longirostris","43.1894","-116.5514"
"Streptanthella_longirostris","46.9456","-119.9861"
"Streptanthella_longirostris","42.9897","-116.0925"
"Streptanthella_longirostris","37.0044","-113.4853"
"Streptanthella_longirostris","37.8794","-111.6317"
"Streptanthella_longirostris","37.2167","-112.6833"
"Streptanthella_longirostris","37.3067","-113.2992"
"Streptanthella_longirostris","38.5322","-110.8797"
"Streptanthella_longirostris","39.2114","-110.7811"
"Streptanthella_longirostris","39.1022","-110.8236"
"Streptanthella_longirostris","32.4556","-114.1239"
"Streptanthella_longirostris","39.0967","-110.7497"
"Streptanthella_longirostris","37.1347","-113.5775"
"Streptanthella_longirostris","37.1047","-113.6731"
"Streptanthella_longirostris","38.86","-110.4214"
"Streptanthella_longirostris","35.8125","-110.1625"
"Streptanthella_longirostris","32.6875","-114.3018"
"Streptanthella_longirostris","32.6535","-113.2082"
"Streptanthella_longirostris","36.8662","-111.5842"
"Streptanthella_longirostris","36.7228","-112.0665"
"Streptanthella_longirostris","36.562","-113.3514"
"Streptanthella_longirostris","32.6978","-113.7925"
"Streptanthella_longirostris","32.1167","-113.55"
"Streptanthella_longirostris","36.7032","-111.9477"
"Streptanthella_longirostris","37.24","-109.66"
"Streptanthella_longirostris","37.38","-109.54"
"Streptanthella_longirostris","37.74","-117.66"
"Streptanthella_longirostris","41.43","-113.68"
"Streptanthella_longirostris","37.88","-113.13"
